"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 07, 2019","50.91","50.72","51.01","50.56","-","0.35%"
"Dec 08, 2019","49.91","50.90","50.96","49.71","-","-1.96%"
"Dec 09, 2019","49.81","49.89","50.47","49.67","-","-0.20%"
"Dec 10, 2019","49.63","49.77","50.19","49.51","-","-0.37%"
"Dec 11, 2019","50.26","49.61","50.46","49.52","-","1.27%"
"Dec 12, 2019","49.67","50.41","50.94","49.55","-","-1.18%"
"Dec 13, 2019","50.14","49.66","50.39","49.64","-","0.95%"
"Dec 14, 2019","49.84","50.12","50.42","49.64","-","-0.60%"
"Dec 15, 2019","49.97","49.79","50.28","49.67","-","0.27%"
"Dec 16, 2019","51.99","49.95","53.13","49.81","-","4.04%"
"Dec 17, 2019","54.30","51.96","54.68","51.74","-","4.45%"
"Dec 18, 2019","54.77","54.26","55.53","53.22","-","0.86%"
"Dec 19, 2019","55.80","54.74","56.86","54.56","-","1.89%"
"Dec 20, 2019","56.05","55.67","56.39","55.65","-","0.44%"
"Dec 21, 2019","56.19","56.02","56.39","55.89","-","0.26%"
"Dec 22, 2019","56.68","56.16","56.80","55.03","-","0.88%"
"Dec 23, 2019","57.27","56.87","57.89","56.32","-","1.02%"
"Dec 24, 2019","56.83","57.24","57.58","56.29","-","-0.75%"
"Dec 25, 2019","57.58","56.83","58.10","56.78","-","1.31%"
"Dec 26, 2019","57.36","57.58","57.85","56.22","-","-0.39%"
"Dec 27, 2019","57.45","57.39","57.98","57.13","-","0.16%"
"Dec 28, 2019","56.78","57.51","57.56","56.39","-","-1.17%"
"Dec 29, 2019","54.95","56.79","57.15","54.51","-","-3.22%"
"Dec 30, 2019","55.00","54.93","55.81","54.31","-","0.09%"
"Dec 31, 2019","55.70","54.98","56.04","54.59","-","1.27%"
"Jan 01, 2020","55.09","55.64","55.86","53.80","-","-1.11%"
"Jan 02, 2020","54.76","55.04","55.53","54.53","-","-0.58%"
